App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1LINE – One Line with One Touch,GAME,4.6,214878,10M,"10,000,000+",Free,0,Everyone,Board,"August 3, 2018",2.0.4,4.1 and up
2-Player Co-op Zombie Shoot,GAME,4.2,33,13M,"1,000+",Free,0,Teen,Action,"July 1, 2018",1.0.13,2.3 and up
211:CK,GAME,5.0,8,38M,10+,Paid,$0.99,Teen,Arcade,"April 11, 2018",1.3,4.1 and up
211:CK Lite,GAME,4.3,3,39M,10+,Free,0,Mature 17+,Action,"September 22, 2017",1.0,4.1 and up
4 in a Row,GAME,3.8,4257,Varies with device,"500,000+",Free,0,Everyone,Board,"May 13, 2018",Varies with device,Varies with device
4 in a row,GAME,4.3,47698,4.1M,"5,000,000+",Free,0,Everyone,Board,"April 12, 2016",1.0.21,1.5 and up
4x4 Jeep Racer,GAME,4.1,7279,54M,"1,000,000+",Free,0,Everyone,Racing,"March 9, 2018",1.5,4.0 and up
5 Nights at Cube Pizzeria City,GAME,3.8,2691,52M,"100,000+",Free,0,Teen,Adventure,"February 22, 2017",1.2,4.2 and up
7 Nights at Pixel Pizzeria - 2,GAME,4.0,23168,54M,"1,000,000+",Free,0,Teen,Adventure,"July 9, 2018",1.3.0,4.4 and up
8 Ball Pool,GAME,4.5,14201604,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up
AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,Varies with device,"5,000,000+",Free,0,Everyone,Racing,"August 26, 2016",Varies with device,Varies with device
AE 3D Moto 3,GAME,3.9,2588,26M,"100,000+",Free,0,Everyone 10+,Racing,"December 31, 2014",1.7.1,2.3 and up
AE Angry Chef,GAME,4.1,533,39M,"10,000+",Free,0,Everyone 10+,Action,"January 24, 2014",1.0,2.1 and up
AE Bingo: Offline Bingo Games,GAME,4.4,61746,Varies with device,"500,000+",Free,0,Teen,Casino,"September 30, 2016",Varies with device,2.3.3 and up
AE Blackjack,GAME,4.0,1417,17M,"100,000+",Free,0,Teen,Card,"November 27, 2015",1.3.1,2.3 and up
AE City Jump,GAME,4.5,804,27M,"10,000+",Free,0,Everyone,Action,"July 18, 2018",1.0.4,4.0 and up
AE Coin Mania : Arcade Fun,GAME,4.3,30002,29M,"1,000,000+",Free,0,Teen,Casino,"February 8, 2018",2.3.5,4.0.3 and up
AE Fishing Hunter,GAME,4.4,14,6.6M,"1,000+",Free,0,Everyone,Adventure,"March 15, 2016",0.0.3,3.0 and up
AE FreeCell,GAME,4.2,358,15M,"10,000+",Free,0,Everyone,Card,"November 6, 2014",1.1.5,2.3 and up
AE GTO Racing,GAME,3.9,6988,35M,"100,000+",Free,0,Everyone 10+,Racing,"September 24, 2015",Varies with device,Varies with device
AE Gun Ball: arcade ball games,GAME,3.7,8581,12M,"1,000,000+",Free,0,Everyone,Arcade,"December 13, 2013",1.0.2,2.2 and up
AE Jewels,GAME,4.2,960,18M,"50,000+",Free,0,Everyone,Action,"August 20, 2015",1.0.5,3.0 and up
AE Jewels 2: Island Adventures,GAME,4.2,652,30M,"10,000+",Free,0,Everyone,Action,"February 24, 2016",1.0,2.3 and up
AE Lucky Fishing,GAME,4.3,18277,17M,"1,000,000+",Free,0,Teen,Arcade,"March 14, 2016",2.0.2,2.3 and up
AE Master Moto,GAME,4.0,17876,37M,"1,000,000+",Free,0,Everyone,Racing,"December 10, 2015",1.8.6,2.3 and up
AE Solitaire,GAME,4.3,1776,26M,"50,000+",Free,0,Everyone,Card,"January 4, 2018",2.3.4,4.0.3 and up
AE Spider Solitaire,GAME,4.5,17263,Varies with device,"500,000+",Free,0,Everyone,Card,"June 7, 2017",Varies with device,Varies with device
AE Video Poker,GAME,4.0,721,18M,"50,000+",Free,0,Teen,Casino,"December 31, 2015",1.3.2,2.3 and up
AG Drive 3D,GAME,3.8,164,22M,"10,000+",Free,0,Everyone,Adventure,"March 20, 2015",1.0.1,2.3.3 and up
AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,3.8,1088,86M,"100,000+",Free,0,Teen,Action,"February 16, 2018",1.0.1,4.3 and up
AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42M,"50,000+",Paid,$1.99,Everyone,Arcade,"March 7, 2016",1.6,4.0 and up
AK Blackjack,GAME,,4,7.6M,"1,000+",Free,0,Teen,Card,"July 30, 2018",1.3,4.1 and up
AK-47 3D,GAME,3.7,91,24M,"10,000+",Free,0,Everyone,Action,"December 25, 2016",3.2,2.3 and up
AK-47 Assult Rifle: Gun Shooting Simulator Game,GAME,,1,5.8M,500+,Free,0,Everyone,Action,"May 17, 2018",2.0,4.0.3 and up
AR Tank Battle,GAME,3.6,153,67M,"10,000+",Free,0,Everyone,Action,"December 31, 2016",1.3,4.0 and up
ARK: Survival Evolved,GAME,3.8,51523,36M,"500,000+",Free,0,Teen,Adventure,"August 2, 2018",1.0.90,7.0 and up
AU Mobile Indonesia,GAME,3.6,16521,23M,"1,000,000+",Free,0,Everyone,Music,"May 9, 2018",1.8.0502,2.3 and up
AXE.IO - Brutal Survival Battleground,GAME,4.2,3845,76M,"500,000+",Free,0,Everyone 10+,Arcade,"August 3, 2018",1.6.1,4.1 and up
AZ Rockets,GAME,4.2,162,37M,"10,000+",Free,0,Everyone,Arcade,"May 25, 2018",1.2.1,4.1 and up
Adivina el Emoji,GAME,,2536,32M,"100,000+",Free,0,Everyone,Trivia,"October 2, 2016",1.00,4.0.3 and up
Adivina el cantante de Trap y Reggaeton,GAME,4.5,1914,24M,"100,000+",Free,0,Everyone,Trivia,"June 29, 2018",3.6.7z,4.0.3 and up
Adventure Time Game Wizard,GAME,4.1,4107,40M,"50,000+",Paid,$4.99,Everyone,Adventure,"July 16, 2015",1.2.0,4.1 and up
Adventure Time Run,GAME,4.3,24628,88M,"1,000,000+",Free,0,Everyone,Action,"July 26, 2018",1.25.396,4.4 and up
Agar.io,GAME,4.2,3815614,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up
Ah! Coins,GAME,3.4,256,9.1M,"50,000+",Free,0,Everyone,Action,"December 8, 2016",1.0.0,2.3 and up
Alex & Co Quiz,GAME,,9,4.9M,"1,000+",Free,0,Everyone,Trivia,"April 15, 2018",1.2,4.1 and up
Alto's Adventure,GAME,4.6,515240,63M,"10,000,000+",Free,0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up
American Sniper City Fight Shooting Assassin,GAME,4.1,395,54M,"50,000+",Free,0,Teen,Action,"November 24, 2017",1.4,2.3 and up
An Elite Warrior Ex,GAME,4.7,15,93M,100+,Paid,$0.99,Everyone,Adventure,"November 21, 2016",1.59,4.0.3 and up
Angelo Rules - Crazy day,GAME,3.9,108336,62M,"1,000,000+",Free,0,Everyone,Adventure,"June 27, 2016",4.0.01,4.4 and up
Anger of stick 5 : zombie,GAME,4.5,547644,23M,"50,000,000+",Free,0,Teen,Action,"August 3, 2018",1.1.5,2.3 and up
Angry Birds 2,GAME,4.6,3883589,57M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",2.21.1,4.1 and up
Angry Birds Classic,GAME,4.4,5565856,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up
